Title,Price,Location,Bedrooms,Bathrooms,Surface
 Maison,269 000 ,Tournai,4,1,176 m²
 Maison Trois Façades,269 000 ,Hermalle-Sous-Argenteau,7,2,366 m²
 Appartement,269 000 ,Neder-Over-Heembeek,2,1,82 m²
 Maison,269 000 ,Jodoigne,3,1,131 m²
 Maison,269 000 ,Seraing,2,2,152 m²
 Appartement,269 000 ,Bruges,3,1,107 m²
 Maison,269 000 ,Anseroeul,2,1,108 m²
 Maison,269 000 ,Willemeau,4,1,185 m²
 Maison,269 000 ,Roulers,3,1,83 m²
 Maison,269 000 ,Péruwelz,3,2,185 m²
 Maison de rangée,269 000 ,Staden,3,1,399 m²
 Maison de rangée,269 000 ,Staden,3,1,399 m²
 Appartement,269 000 ,Oupeye,3,2,124 m²
 Maison,269 000 ,Estaimbourg,3,1,268 m²
 Appartement,269 000 ,Middelkerke,2,1,71 m²
 Appartement,269 000 ,Molenbeek-Saint-Jean,2,1,91 m²
 Maison,269 000 ,Rocourt,4,1,130 m²
 Maison,269 000 ,Othée,4,2,182 m²
 Maison,269 000 ,Châtelineau,3,1,180 m²
 Maison quatre façades,269 000 ,Beyne-Heusay,3,3,178 m²
 Appartement,269 000 ,La Panne,2,1,88 m²
 Maison,269 000 ,Thourout,3,1,189 m²
 Appartement,269 000 ,Le coq,2,1,84 m²
 Appartement,269 000 ,Le coq,2,1,90 m²
 Maison,269 000 ,Tournai,5,2,304 m²
 Appartement,269 000 ,Molenbeek-Saint-Jean,3,1,140 m²
 Maison,269 000 ,Steenhuize-Wijnhuize,4,1,291 m²
 Maison,269 000 ,Gand,3,2,93 m²
 Appartement,269 000 ,Anderlecht,5,1,135 m²
 Maison,269 000 ,Hamoir,3,2,143 m²
 Appartement,269 000 ,Anderlecht,4,2,135 m²
 Maison Trois Façades,269 000 ,Ransart,7,2,325 m²
 Maison,269 000 ,Grobbendonk,2,1,110 m²
 Maison,269 000 ,Overijse,3,1,151 m²
 Maison,269 000 ,Taintignies,3,1,144 m²
 Maison,269 000 ,Châtelet,4,2,185 m²
 Maison,269 000 ,Jodoigne,5,1,250 m²
 Appartement,269 000 ,Jodoigne,2,1,98 m²
 Maison,269 000 ,Ninove,3,1,148 m²
 Appartement,269 000 ,Laeken,2,1,105 m²
 Appartement,269 000 ,Remicourt,4,1,149 m²
 Maison,269 000 ,Waremme,4,1,149 m²
 Maison,269 000 ,Leeuw-saint-pierre,2,1,104 m²
